Grape,Country,Wine name,Wine rating average,Wine ratings count
Merlot,it,Amarone della Valpolicella Classico Riserva,4.8,587
Merlot,it,Fratini Bolgheri Superiore,4.8,153
Merlot,fr,Cristal Rosé Vinothèque,4.8,88
Merlot,fr,Batard-Montrachet Grand Cru,4.8,34
Merlot,fr,Sauternes,4.7,44126
Merlot,fr,Pomerol,4.7,32157
Merlot,it,Toscana,4.7,16284
Merlot,fr,Le Mesnil Blanc de Blancs (Cuvée S) Brut Champagne,4.7,9564
Merlot,it,Amarone della Valpolicella Classico,4.7,8900
Merlot,it,Amarone della Valpolicella Monte Lodoletta,4.7,7947
Merlot,fr,Châteauneuf-du-Pape,4.7,7544
Merlot,fr,P2 Plénitude Brut Champagne,4.7,7543
Merlot,fr,Romanée-Saint-Vivant Grand Cru (Marey-Monge),4.7,6597
Merlot,it,Cerretalto Brunello di Montalcino,4.7,5373
Merlot,it,Barolo Riserva Monfortino,4.7,5013
Merlot,fr,Chambertin Grand Cru,4.7,3401
Merlot,it,Veneto Alzero Cabernet,4.7,2600
Merlot,fr,Clos du Mesnil,4.7,2471
Merlot,fr,Collection,4.7,2184
Merlot,fr,Pomerol,4.7,2164
Merlot,it,Harlequin,4.7,1276
Merlot,it,La Mattonara Amarone della Valpolicella Classico Riserva,4.7,1196
Merlot,it,Recioto della Valpolicella Classico,4.7,1045
Merlot,za,Book 17 XVII,4.7,814
Merlot,it,De Buris Amarone della Valpolicella Classico Riserva,4.7,574
Merlot,fr,Montrachet Grand Cru,4.7,516
Merlot,hu,Eszencia,4.7,488
Merlot,za,The Black Lion,4.7,476
Merlot,fr,Montrachet Grand Cru,4.7,459
Merlot,fr,Cristal Vinothèque,4.7,426
Merlot,fr,Échézeaux Grand Cru,4.7,359
Merlot,it,Fieramonte Amarone della Valpolicella Riserva,4.7,315
Merlot,it,Permassimo,4.7,186
Merlot,fr,Ligne de Crete Les Grandes Vignes Hermitage,4.7,76
Merlot,fr,Brut Champagne,4.6,146377
Merlot,it,Sassicaia,4.6,107646
Merlot,fr,Pauillac (Premier Grand Cru Classé),4.6,73615
Merlot,cl,Almaviva,4.6,48075
Merlot,it,Bolgheri Superiore,4.6,47939
Merlot,fr,Château Margaux (Premier Grand Cru Classé),4.6,45350
Merlot,fr,Cristal Brut Champagne (Millésimé),4.6,42456
Merlot,fr,Pessac-Léognan (Premier Grand Cru Classé),4.6,39605
Merlot,fr,Pauillac (Premier Grand Cru Classé),4.6,39283
Merlot,fr,Grand Vin Pauillac (Premier Grand Cru Classé),4.6,38521
Merlot,it,Tenuta Tignanello 'Solaia',4.6,33143
Merlot,fr,Grande Cuvée,4.6,28513
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,28198
Merlot,cl,Clos Apalta,4.6,23256
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,22896
Merlot,fr,Vintage,4.6,16918
Merlot,fr,Brut Rosé Champagne,4.6,13747
Merlot,cl,La Piu Belle,4.6,13420
Merlot,za,Vin de Constance (Natural Sweet),4.6,13210
Merlot,fr,Sir Winston Churchill Brut Champagne,4.6,12873
Merlot,it,'Giulio Ferrari' Riserva del Fondatore,4.6,12592
Merlot,it,Sperss Barolo,4.6,10950
Merlot,it,Kurni Marche,4.6,10261
Merlot,fr,L'Hermitage,4.6,8592
Merlot,cl,VIK,4.6,8493
Merlot,fr,R.D Extra Brut Champagne (Récemment Dégorgé),4.6,7737
Merlot,fr,Saint-Émilion Grand Cru (Premier Grand Cru Classé),4.6,6637
Merlot,fr,Cristal Rosé Brut Champagne (Millésimé),4.6,5883
Merlot,fr,Blanc des Millénaires,4.6,5581
Merlot,fr,Saint-Émilion Grand Cru,4.6,5390
Merlot,cl,Red,4.6,4933
Merlot,fr,Côte-Rôtie La Turque,4.6,4891
